Código da IES;Nome da IES;Sigla da IES;Org. Acadêmica;Categ. Administrativa;UF da IES;Nº de Cursos com CPC no Triênio;alfa (Proporção de Graduandos);Conceito médio da Graduação;beta (Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;gama (Proporção de Doutorandos - Equivalente);Conceito Médio do doutorado;IGC (Contínuo);IGC (Faixa)
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;MT;87;0,806894062;2,785329625;0,127143115;4,330288745;0,065962823;4,694444444;3,107691142;4
2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;DF;86;0,526675355;3,294626793;0,239741865;4,63055115;0,23358278;4,787747036;3,963670966;5
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;SE;88;0,806190286;2,87359321;0,122606895;4,299005682;0,071202819;4,692214112;3,177849543;4
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pública Federal;AM;74;0,85511385;2,699897147;0,101450364;4,262711864;0,043435786;4,564456722;2,93943388;3
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;PI;74;0,86483345;2,629068687;0,095480057;4,289401428;0,039686493;4,612662942;2,866319252;3
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pública Federal;MG;44;0,78310564;3,078483498;0,152306236;4,391528108;0,064588124;4,69375;3,382795412;4
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pública Federal;SP;56;0,467358852;3,325324733;0,239516956;4,55682265;0,293124192;4,790895813;4,049883704;5
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;MG;63;0,517987522;3,379295135;0,223372716;4,667437558;0,258639763;4,915;4,064225348;5
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;PR;47;0,628989503;3,134053776;0,207878274;4,52483011;0,163132224;4,754143646;3,687454823;4
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada Sem Fins Lucrativos;PR;75;0,817705892;2,86343081;0,09267073;4,722680412;0,089623379;4,877693283;3,216253835;4
